sheet,state,metric,station_code,station_name,month,round,value,source_url,source_file
UK_BOD_2024,Uttarakhand,BOD,5776,"SWARG ASHRAM ,RISHIKESH",April,second,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,5776,"SWARG ASHRAM ,RISHIKESH",May,first,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,5776,"SWARG ASHRAM ,RISHIKESH",June,second,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,5776,"SWARG ASHRAM ,RISHIKESH",July,first,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,5776,"SWARG ASHRAM ,RISHIKESH",August,second,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,5776,"SWARG ASHRAM ,RISHIKESH",September,first,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,5776,"SWARG ASHRAM ,RISHIKESH",October,second,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,5776,"SWARG ASHRAM ,RISHIKESH",November,first,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,5776,"SWARG ASHRAM ,RISHIKESH",December,second,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,1060,U/S RISHIKESH,January,first,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
UK_BOD_2024,Uttarakhand,BOD,1060,U/S RISHIKESH,February,second,1.0,https://gyanganga.ai/admin/fileupload/Uttarakhand_BOD_Data2024-2014.xlsx,Uttarakhand_BOD_Data2024-2014.xlsx
